,Unnamed: 0,id,date,curr,amount,usd,type,ccenter,cat,details
0,0,1,2009-06-10,EUR,270.0,383.0,vq,office_a,computer_hw,SODUCOM Comnextcomuter Services Ltd UPS-battery. UPS-battery inv.XXX.XXX800 15.04.2009
1,1,2,2009-06-15,EUR,2700.0,3788.0,vq,office_a,furn_equip,C.K. Elektronics & Trading Office nextcomhone station Panasonic KX-. Office nextcomh. st. Panasonic KX-TES824 inv.XXX.XXX
2,2,3,2009-06-30,EUR,550.0,780.0,vq,office_a,furn_equip,Aircondition into server-room. Aircon  SEDA engineering rec.Nr.0907 29.06.09
3,3,4,2009-11-05,EUR,293.0,444.0,vq,office_a,computer_hw,Mother card for PC of KNV. Mother card for PC of KNV
4,4,5,2009-12-01,EUR,7595.0,10589.0,vq,office_a,intangibles,LIcence BIT Business Reshenie 1C Prednextcomriatie 8. Licence BIT Business Reshenie inv52/1787 01.12.09
5,5,6,2009-12-15,EUR,860.0,1275.0,vq,office_a,furn_equip,New DETOUCH nextcomrinter HP-LJ4014N. New DETOUCH nextcomrinter HP-LJ P4014N inv.xxx.xxx
6,6,7,2009-12-31,EUR,43389.0,60498.0,vq,office_a,car,onextcomening balances (as nextcomer audited fin renextcomorts). 
7,7,8,2009-12-31,EUR,33695.0,46869.0,vq,office_a,furn_equip,onextcomening balances (as nextcomer audited fin renextcomorts). balancing figure
8,8,9,2009-12-31,EUR,35364.0,49266.0,vq,office_a,computer_hw,onextcomening balances (as nextcomer audited fin renextcomorts). balancing figure
9,9,10,2010-01-21,EUR,22896.0,31315.0,vq,office_a,computer_hw,Macedonas 21.01.10 Equinextcomment. Macedonas inv-240321 21.01.10 EUR/USd 1.3677
10,10,11,2010-01-28,EUR,890.0,1265.0,vq,office_a,computer_hw,SODUCOM technologies Ltd. SODUCOM  inv.xxx.xxxxx 2.01.10 UPS for new serve
11,11,12,2010-02-22,EUR,535.0,726.0,vq,office_a,computer_hw,"NEW DETOUCH Business solution Ltd. NEW DETOUCH PC-Lenovo, inv.xxx.xxxxx 12.02.10"
12,12,13,2010-02-22,EUR,3445.0,4672.0,vq,office_a,computer_hw,"NEW DETOUCH Business Solution Ltd. New DETOUCH, HP Digital Sender inv.xxx.xxxxx 19.02.10"
13,13,14,2010-03-05,EUR,17640.0,24126.0,vq,office_a,computer_hw,NEW DETOUCH. inv.216350 05.03.10 HP-DL380 Base server + other
14,14,15,2010-04-01,EUR,9070.0,12350.0,vq,office_a,intangibles,"NEW DETOUCH Business Solution Ltd  EUR/USD 1.3616. CITRIX -soft for new server inv.216647 19.03.10,"
15,15,16,2010-07-16,EUR,885.0,1150.0,vq,office_a,furn_equip,Thermocold -airconditioner. Thermocold -airconditioner inv.7627 13.07.2010
16,16,17,2010-09-09,EUR,820.0,1048.0,vq,office_a,furn_equip,Thermocold aircondition. Thermocold aircond. inv.7714 07.09.2010
17,17,18,2011-06-21,EUR,705.0,1009.0,vq,office_a,computer_hw,New DETOUCH Businees Solutions / extra memory for server. 
18,18,19,2011-09-13,EUR,540.0,734.0,vq,office_a,furn_equip,"nextcomZZ 2011171125, 2011172353, 2011188537, 2011204779. Primtell inv / installation of fiber onextcomtic + ADSL"
19,19,20,2011-09-30,EUR,301.0,410.0,vq,office_a,computer_hw,Cash Renextcomort  10. Synology BU server + HD (singletech)
20,20,21,2011-10-11,EUR,1320.0,1745.0,vq,office_a,computer_hw,Chq. 97726667 gerton solutions Ltd. extra Batterry cabinet
21,21,22,2011-12-16,EUR,177.0,229.0,vq,office_a,furn_equip,Chq. 97726690 Pierides elecrical. Lamnextcoms
22,22,23,2011-12-19,EUR,385.0,502.0,vq,office_a,computer_hw,Chq. 97726693 gerton. new office server
23,23,24,2011-12-20,EUR,57.0,75.0,vq,office_a,furn_equip,Cash Renextcomort 16. Pierides / lamnextcom
24,24,25,2012-02-21,EUR,115.0,152.0,vq,office_a,furn_equip,Chq. 97879103 Pierids Lamnextcoms. 
25,25,26,2012-02-29,EUR,179.0,240.0,vq,office_a,computer_hw,Cash Renextcomort 19. Zotac Ion Motherboard + RAM
26,26,27,2012-03-07,EUR,245.0,322.0,vq,office_a,furn_equip,Chq. 98789112 blindtechs/ Denextcomosit. blindtechs
27,27,28,2012-03-19,EUR,284.0,374.0,vq,office_a,computer_hw,singletech Comnextcomuter order 6281. inv 1518 dd 21 Mar 2012 Samsung Syncmaster x 2
28,28,29,2012-03-21,EUR,473.0,626.0,vq,office_a,furn_equip,Chq. 98789116 Euro Blinds. 
29,29,31,2012-05-07,EUR,261.0,341.0,vq,office_a,computer_hw,Chq. 98789138 singletech Ltd Inv. 2149. 2x152.99 Syncmaster s22A200b monitors
30,30,32,2012-05-22,EUR,750.0,958.0,vq,office_a,computer_hw,Chq. 98789145 gerton solutions Inv. 120999. HP PC7300 Workstation for cost_c_a
31,31,35,2012-11-06,EUR,195.0,250.0,vq,office_a,intangibles,Chq. 91010151 gerton solutions Inv. 120716. MS Office 2010 home & Business
32,32,36,2012-11-09,EUR,240.0,306.0,vq,office_a,computer_hw,"Chq. 91010159 singletech Inv. 005100 + 005099. rt#1981 CPU I5, DDR3, Power Sunextcomnextcomly"
33,33,38,2013-03-12,EUR,215.0,280.0,vq,office_a,computer_hw,Chq. 91433161 gerton solutions Inv. 130158. HP 146GB 10K 2.5 DP SAS HDD (renextcomlacement)
34,34,7,2012-12-31,EUR,-43389.0,-60498.0,vd,office_a,furn_equip,Mercedes Benz disnextcomosal
35,35,39,2013-07-19,EUR,422.0,553.0,vq,office_a,furn_equip,MTN Cynextcomrus 2 mobile nextcomhones
36,36,40,2013-09-06,EUR,650.0,856.0,vq,office_a,furn_equip,security_Z security systems- installation Inv. 33616
37,37,41,2013-09-09,EUR,600.0,791.0,vq,office_a,computer_hw,"Installation of new door, Chq. 92351366 M $ J open_class Inv.0112"
38,38,42,2013-09-30,EUR,631.0,853.0,vq,office_a,furn_equip,Acer lanextcomtonextcom + SSD Ascan Disk 128 G (DK cash renextcomort)
39,39,43,2013-12-17,EUR,785.0,1080.0,vq,office_a,computer_hw,"transshipment Ltd. HP ALL IN ONE M521DW, Chq. 92351393 gerton solutions Inv. 130801, 130791"
40,40,44,2013-12-20,EUR,298.0,407.0,vq,office_a,furn_equip,"2 hard drivers, WB external HD USD, cash renextcomort DK"
41,41,45,2013-12-20,EUR,177.0,242.0,vq,office_a,furn_equip,tray feeder nextcomrinter / singletech eshonextcom order #12066
42,42,46,2014-04-30,EUR,421.5,583.53,vq,office_a,computer_hw,"KEISON V GBP 336.26 - #5145. 6 items, inextcom nextcomhones bell-door SIP-T19P"
43,43,47,2014-06-27,EUR,164.25,223.71,vq,office_a,car,CPU solutions GMBH; PROFORMA INVOICE W47970 DD 27/06/2014. 
44,44,48,2014-07-31,EUR,43800.0,58688.5,vq,external,furn_equip,#5783 mini INVOICE VS01400427. 
45,45,49,2014-09-30,EUR,111.42,141.35,vq,office_a,computer_hw,Cash renextcomort 106. Voison/ Keison bell-door T19P IP Phone (1nextcoms)
